Dagnr,DIENSTREGELPUNT_VAN,DIENSTREGELPUNT_NAAR,KLANTHINDERINMINUTEN,KLANTHINDERNAAM,BEWEGINGNUMMER,MONITORINGSTEGELOMSCHRIJVING,TOELICHTING,AANTAL_OPGEHEVEN_NS_TREINEN
1,Asb,Bkl,252,3. Hinder,7387,Onregelmatigheden in de uitvoering van BTD,AC: defect sp Sp-UN3 / Spoorweb-id: 986561,9
23,Whzaz,Whzan,45,3. Hinder,43377,Onregelmatigheden in de uitvoering van BTD,Brd tnl blijft in onderhoud staan,0
13,Apd,Sto,130,3. Hinder,-2,STS passage / Bijna Aanrijding,1774 meldt suicidaal persoon thv km 83.5 Apd - Sto.Ovw 86.2 in storing. Later melding  meerdere ovw in storing:. ,1
3,At,Bet,127,3. Hinder,1162,STS passage / Bijna Aanrijding,BET-AT: hinder pers op sp / Spoorweb-id: 987264,0
28,Asd,Ods,578,3. Hinder,3057,Onregelmatigheden in de uitvoering van BTD,Door onbekende reden was een automaat uitgevallen waardoor we alle controle over bepaalde wissels en seinen verloren. Dit veroorzaakte een mogelijke STS passage door afvallende seinen en wissels die niet in de eindstand kwamen maar wel veilige rijwegen overheen vrijkwamen. Dit is ongewenst systeem gedrag en kan ontsporing tot gevolg veroorzaken,18
23,Kraga,Bgn,50,3. Hinder,-2,STS passage / Bijna Aanrijding,KRGE-BGN: ass hulpdst / Spoorweb-id: 995171Politie opzoek naar verdacht persoon,0
12,Hln,Rm,1100,2. Veel hinder,3953,Aanrijding,"HLN-RM: aanr pers tr 3953 / Spoorweb-id: 990976.Aanrijding op ovw 86.8, 71090994 controle op werking",24
17,Hgl,Odzg,60,3. Hinder,20371,Afwezigheid personeel,HGL: hinder log probleem Keolis / Spoorweb-id: 992834,0
16,Gvm,Vst,55,3. Hinder,-2,STS passage / Bijna Aanrijding,"kinderen lang de baan , gemeld door 2152",0
27,Ztm,Ypb,1553,2. Veel hinder,-2,Spoor of wissels,sectiestoringen beide sporen ztm-ypb,51
27,Ed,Hdr,90,3. Hinder,3014,STS passage / Bijna Aanrijding,DB: ass hulpdst tr 3015 / Spoorweb-id: 997306,3
6,Zl,Zlwo,51,3. Hinder,309044,Afwezigheid personeel,geen mcn en geen hc,0
11,Hsghtz,Hsrtdv,599,3. Hinder,1028,Defect materieel,zie terugkoppeling RB : materieel,19
3,Hm,Hmbh,55,3. Hinder,-2,STS passage / Bijna Aanrijding,mcn 3584 meld persoon op perron spoor 2 die er op de heen weg ook al zat en dit vond hij verdacht,0
20,Hfd,Shl,60,3. Hinder,71649,Defect materieel,shutdown,3
18,Kw,Mth,153,3. Hinder,-2,Spoor of wissels,spoorverzakking,0
25,Asd,Sgbr,145,3. Hinder,5459,Defect materieel,ASD: def mat tr 5459 / Spoorweb-id: 996410,4
25,Dtc,Gdr,401,3. Hinder,-2,Spoor of wissels,op verzoek aangepast,0
23,Zvg,Rsdg,60,3. Hinder,42556,Vertraging veroorzaakt door andere IM / Terminal,GTI,0
9,Ohze,Mz,346,3. Hinder,-2,STS passage / Bijna Aanrijding,OHZE-MZ: hinder pers op sp / Spoorweb-id: 989800persoon meegenomen door IC,9
5,Nm,Wc,60,3. Hinder,7658,Afwezigheid personeel,HC,2
12,Rm,Hrl,120,3. Hinder,203967,Herplanning (materieel niet of laat beschikbaar),"Opgeheven vlgs VSM, maar eerder in dienstgegeven, maar kan niet gestart wordenDiv treinen",2
29,Dtcp,Dt,47,3. Hinder,3745,(problemen met) Reizigers,DT: hinder onwel reiz tr 3745 / Spoorweb-id: 998302,0
14,Tbu,Tb,200,3. Hinder,6453,Defect materieel,"defect, weet niet wat",6
17,Wt,Mz,611,3. Hinder,3919,STS passage / Bijna Aanrijding,MZ-WT: hinder Auto op sp Ovw-23.2 / Spoorweb-id: 992801,19
19,Wc,Nm,60,3. Hinder,7623,Defect materieel,Reset nodig,2
22,Rai,Dvaw,67,3. Hinder,923,Conflicten/aanpassingen Dienstregeling,Te druk met internationale treinen leeglopen en van- en naar WGM,0
19,Amf,Amf,55,3. Hinder,685,(problemen met) Reizigers,Noodrem getrokken,0
21,Hfdm,Rtd,255,3. Hinder,1012,Defect materieel,Trein 1012 defect op HSL-N.,8
30,Rlb,Rtst,64,3. Hinder,50551,Onregelmatigheden in de uitvoering van BTD,Trein is aan het roestrijden op de HSL ivm een btd. Echter is dit een losse lok ( 4 assen) die het project heeft ingezet hierdoor moet deze trein verschillende keren zagen om aan de noodzakelijke 20 assen te komen voor het ontroest opleveren van de sporen.,0
21,Btl,Ahg,60,3. Hinder,59601,Conflicten/aanpassingen Dienstregeling,"kopmaken, maar onder hetzelfde treinnummer",0
12,Erpw,ONB,136,3. Hinder,48751,Spoor of wissels,MVT-ERPW: infra ATB Ovrg-balise / Spoorweb-id: 990719,0
24,Ut,Ut,52,3. Hinder,6964,(problemen met) Reizigers,V&S bij trein ivm lastige reiziger,0
27,Ass,Ass,44,3. Hinder,5844,Defect materieel,SGRA: def mat tr 5844 / Spoorweb-id: 997497,0
15,Lw,Akm,210,3. Hinder,1860,Aanpassing DRGL op verzoek van de vervoerder,Opnieuw ingelegd,14
3,Hfdo,Hfdm,422,3. Hinder,-2,Spoor of wissels,HFD: sectie sto Sec-2101T / Spoorweb-id: 987175,35
26,Wd,Utg,60,3. Hinder,4034,Spoor of wissels,BKLA-HMLA: defect sp / Spoorweb-id: 996788,2
14,Mmlh,Ck,132,3. Hinder,-2,Storing overwegen,assenteller was defect,0
