# STN,Day,HH,   FH,   RH,    R,    O,    T,    Q,Gusts,Rain,Storms,Temp,Sunshine
240,1,1,60,5,1,0,146,0,,Rain,,Cold,
240,1,2,60,2,1,0,146,0,,Rain,,Cold,
240,1,3,50,0,0,0,146,0,,,,Cold,
240,1,4,60,0,0,0,145,0,,,,Cold,
240,1,5,60,-1,1,0,143,2,,Rain,,Cold,
240,1,6,60,4,1,0,144,16,,Rain,,Cold,
240,1,7,60,1,1,0,147,26,,Rain,,Cold,
240,1,8,60,-1,1,0,153,51,,Rain,,Cold,
240,1,9,60,0,0,0,151,52,,,,Cold,
240,1,10,70,0,0,0,154,55,,,,Cold,
240,1,11,60,0,0,0,158,86,,,,Cold,Sunny
240,1,12,60,0,0,0,158,74,,,,Cold,Sunny
240,1,13,60,0,0,0,159,63,,,,Cold,
240,1,14,60,0,0,0,157,49,,,,Cold,
240,1,15,70,0,0,0,157,61,,,,Cold,
240,1,16,60,0,0,0,154,36,,,,Cold,
240,1,17,60,0,0,0,150,24,,,,Cold,
240,1,18,60,0,0,0,146,17,,,,Cold,
240,1,19,60,0,0,0,142,7,,,,Cold,
240,1,20,60,0,0,0,140,1,,,,Cold,
240,1,21,60,0,0,0,138,0,,,,Cold,
240,1,22,60,0,0,0,137,0,,,,Cold,
240,1,23,60,0,0,0,135,0,,,,Cold,
240,1,24,60,0,0,0,132,0,,,,Cold,
240,2,1,60,0,0,0,130,0,,,,Cold,
240,2,2,40,0,0,0,129,0,,,,Cold,
240,2,3,40,0,0,0,129,0,,,,Cold,
240,2,4,40,0,0,0,129,2,,,,Cold,
240,2,5,50,0,0,0,132,15,,,,Cold,
240,2,6,50,0,0,0,134,20,,,,Cold,
240,2,7,50,0,0,0,136,37,,,,Cold,
240,2,8,50,0,0,0,140,63,,,,Cold,
240,2,9,50,0,0,0,144,80,,,,Cold,Sunny
240,2,10,50,0,0,0,148,184,,,,Cold,Sunny
240,2,11,60,0,0,0,166,271,,,,Cold,Sunny
240,2,12,60,0,0,0,159,254,,,,Cold,Sunny
240,2,13,60,0,0,0,162,271,,,,Cold,Sunny
240,2,14,60,0,0,0,161,227,,,,Cold,Sunny
240,2,15,60,0,0,0,154,182,,,,Cold,Sunny
240,2,16,60,0,0,0,149,168,,,,Cold,Sunny
240,2,17,60,0,0,0,141,60,,,,Cold,
240,2,18,60,0,0,0,137,39,,,,Cold,
240,2,19,50,0,0,0,134,13,,,,Cold,
240,2,20,50,0,0,0,130,2,,,,Cold,
240,2,21,30,0,0,0,130,0,,,,Cold,
240,2,22,30,0,0,0,124,0,,,,Cold,
240,2,23,20,0,0,0,104,0,,,,Cold,
240,2,24,20,0,0,0,95,0,,,,Cold,
240,3,1,20,0,0,0,102,0,,,,Cold,
240,3,2,20,0,0,0,104,0,,,,Cold,
240,3,3,10,0,0,0,113,0,,,,Cold,
240,3,4,10,0,0,0,112,2,,,,Cold,
240,3,5,10,0,0,0,123,15,,,,Cold,
240,3,6,20,0,0,0,132,58,,,,Cold,
240,3,7,20,0,0,0,131,41,,,,Cold,
240,3,8,20,0,0,0,144,122,,,,Cold,Sunny
